,0
8,2
86,2
105,3
128,2
170,2
201,2
248,2
250,2
251,2
262,2
310,2
341,2
349,2
419,2
445,2
459,2
462,2
481,2
549,2
571,2
574,1
586,2
599,2
620,2
634,2
665,2
695,2
698,2
732,2
751,2
777,2
790,2
801,2
819,2
914,2
968,2
1001,2
1032,3
1039,2
1048,2
1088,2
1098,2
1102,2
1142,2
1183,2
1234,2
1242,2
1245,2
1262,2
1285,2
1300,2
1326,2
1332,2
1359,2
1474,2
1481,2
1507,2
1521,2
1568,2
1600,2
1606,2
1632,2
1633,2
1645,2
1666,2
1711,2
1735,2
1741,2
1780,2
1804,2
1811,1
1872,2
1877,2
1878,2
1920,2
1931,2
1932,2
1962,2
1977,2
1985,2
2011,2
2021,2
2095,2
2128,2
2147,2
2153,2
2162,2
2199,2
2209,2
2218,2
2234,2
2247,2
2260,2
2300,2
2331,2
2339,2
2366,2
2376,2
2409,2
2421,2
2442,2
2474,2
2501,2
2526,2
2598,2
2608,2
2658,2
2673,2
2734,1
2744,2
2745,2
2746,2
2768,2
2802,2
2806,2
2827,2
2828,2
2906,2
2943,2
2944,2
2975,2
2988,2
3003,2
3011,2
3012,2
3013,2
3046,2
3064,2
3076,2
3093,2
3115,2
3135,2
3136,2
3205,2
3210,2
3221,2
3252,2
3388,2
3395,2
3413,2
3416,2
3529,2
3537,1
3560,2
3566,2
3595,2
3609,2
3617,2
3629,2
3673,2
3689,2
3695,2
3703,2
3718,2
3722,2
3782,3
3793,2
3798,2
3826,2
3839,2
3851,2
3855,2
3860,2
3874,2
3895,2
3907,2
3975,2
3977,2
3986,2
3989,3
4008,2
4010,2
4045,2
4057,2
4072,2
4094,2
4098,2
4157,2
4158,2
4163,2
4167,2
4185,2
4190,2
4207,2
4211,2
4212,2
4302,2
4306,2
4309,2
4340,2
4343,2
4357,2
4387,2
4441,2
4481,2
4536,2
4551,2
4559,1
4574,2
4612,2
4659,2
4667,2
4679,2
4691,2
4705,2
4727,2
4781,2
4783,2
4785,2
4802,2
4814,2
4821,3
4839,2
4840,2
4862,2
4864,2
4885,2
4923,2
4928,2
4936,1
4945,2
4949,2
4979,2
5029,1
5039,2
5069,2
5074,2
5276,2
5322,2
5343,2
5399,2
5565,2
5566,2
5573,2
5579,2
5592,2
5610,2
5624,2
5635,2
5671,2
5676,2
5685,3
5688,2
5699,2
5704,3
5719,2
5740,2
5783,2
5800,2
5808,2
5815,1
5824,2
5834,2
5899,2
5922,2
5959,2
5961,2
5993,2
5999,2
6048,2
6054,2
6055,2
6112,2
6130,2
6152,2
6208,2
6235,2
6238,2
6292,2
6293,1
6339,2
6384,2
6385,2
6393,2
6429,2
6452,2
6456,2
6491,2
6542,3
6577,2
6598,2
6604,2
6620,2
6621,2
6669,2
6692,2
6717,2
6724,2
6736,2
6737,2
6753,2
6784,2
6793,2
6813,2
6833,1
6834,2
6853,2
6870,2
6911,2
6915,2
6920,2
6948,2
6983,2
6995,2
6996,2
6997,2
7054,2
7090,2
7092,2
7109,2
7126,2
7137,2
7167,2
7188,2
7190,2
7194,3
7202,2
7223,2
7230,2
7241,2
7242,2
7246,2
7263,2
7271,2
7281,2
7313,2
7331,2
7365,2
7382,2
7425,2
7456,2
7478,1
7488,2
7519,2
7576,1
7605,2
7616,2
7622,2
7655,2
7707,2
7713,2
7724,2
7736,2
7745,2
7766,2
7772,2
7791,2
7811,2
7820,2
7855,2
7872,2
7901,2
7904,2
7945,2
8011,2
8029,2
8031,1
8045,2
8061,2
8065,2
8085,1
8143,2
8147,2
8152,2
8229,2
8254,2
8260,2
8290,2
8296,2
8303,2
8306,2
8330,2
8346,2
8353,2
8357,2
8360,2
8381,2
8388,1
8433,2
8437,2
8441,2
8456,2
8469,2
8475,2
8505,2
8542,2
8597,2
8600,2
8614,2
8622,2
8647,2
8688,2
8702,2
8739,2
8751,2
8758,2
8809,2
8835,2
8849,2
8859,2
8890,2
8902,2
8916,2
8923,1
8950,2
