,0
8,3
86,3
105,3
128,3
170,3
201,3
248,1
250,3
251,3
262,3
310,3
341,3
349,3
419,3
445,3
459,3
462,3
481,3
549,3
571,3
574,3
586,3
599,1
620,3
634,3
665,3
695,3
698,3
732,3
751,3
777,3
790,3
801,3
819,3
914,3
968,3
1001,3
1032,3
1039,3
1048,3
1088,3
1098,3
1102,3
1142,3
1183,3
1234,1
1242,3
1245,3
1262,1
1285,3
1300,3
1326,3
1332,3
1359,3
1474,3
1481,3
1507,3
1521,3
1568,3
1600,3
1606,3
1632,3
1633,3
1645,1
1666,3
1711,3
1735,3
1741,3
1780,3
1804,3
1811,2
1872,2
1877,3
1878,3
1920,3
1931,3
1932,3
1962,3
1977,3
1985,3
2011,3
2021,3
2095,3
2128,3
2147,3
2153,3
2162,3
2199,3
2209,2
2218,3
2234,3
2247,3
2260,3
2300,3
2331,3
2339,3
2366,3
2376,2
2409,3
2421,3
2442,3
2474,3
2501,3
2526,3
2598,3
2608,1
2658,3
2673,3
2734,2
2744,3
2745,3
2746,3
2768,3
2802,3
2806,3
2827,3
2828,3
2906,3
2943,3
2944,3
2975,3
2988,3
3003,2
3011,3
3012,3
3013,3
3046,3
3064,3
3076,3
3093,3
3115,3
3135,3
3136,3
3205,3
3210,2
3221,3
3252,3
3388,3
3395,3
3413,3
3416,3
3529,3
3537,3
3560,3
3566,3
3595,3
3609,3
3617,1
3629,3
3673,3
3689,1
3695,3
3703,3
3718,3
3722,3
3782,3
3793,3
3798,3
3826,3
3839,3
3851,3
3855,3
3860,3
3874,3
3895,1
3907,1
3975,3
3977,3
3986,1
3989,3
4008,3
4010,3
4045,3
4057,3
4072,3
4094,3
4098,3
4157,3
4158,3
4163,3
4167,3
4185,3
4190,3
4207,3
4211,3
4212,3
4302,3
4306,1
4309,3
4340,1
4343,3
4357,3
4387,3
4441,3
4481,1
4536,3
4551,3
4559,3
4574,3
4612,3
4659,3
4667,3
4679,3
4691,3
4705,3
4727,3
4781,3
4783,3
4785,3
4802,3
4814,3
4821,3
4839,3
4840,3
4862,3
4864,3
4885,3
4923,3
4928,3
4936,1
4945,3
4949,3
4979,2
5029,2
5039,3
5069,3
5074,1
5276,3
5322,3
5343,3
5399,3
5565,3
5566,3
5573,3
5579,3
5592,3
5610,3
5624,3
5635,3
5671,1
5676,3
5685,2
5688,3
5699,3
5704,3
5719,3
5740,3
5783,3
5800,3
5808,3
5815,1
5824,3
5834,3
5899,3
5922,3
5959,3
5961,3
5993,3
5999,3
6048,3
6054,3
6055,3
6112,3
6130,3
6152,3
6208,3
6235,3
6238,3
6292,3
6293,1
6339,2
6384,3
6385,3
6393,3
6429,3
6452,3
6456,3
6491,3
6542,1
6577,3
6598,3
6604,3
6620,3
6621,3
6669,3
6692,3
6717,3
6724,1
6736,3
6737,3
6753,3
6784,3
6793,3
6813,3
6833,3
6834,3
6853,3
6870,3
6911,3
6915,2
6920,1
6948,3
6983,3
6995,3
6996,3
6997,2
7054,3
7090,3
