,0
12,1
30,1
45,1
73,1
94,1
134,1
142,1
161,1
198,1
211,1
223,1
349,1
375,1
422,1
425,1
483,1
555,1
583,1
596,1
655,1
670,1
683,1
765,1
770,1
803,1
837,1
894,1
923,1
1002,1
1016,1
1155,1
1187,1
1362,1
1374,1
1379,1
1410,1
1467,1
1513,1
1547,1
1555,1
1630,1
1646,1
1769,1
1773,1
1779,1
1845,1
1852,1
1886,1
1898,1
1905,1
1945,1
2002,1
2039,1
2040,1
2048,1
2051,1
2067,1
2076,1
2117,1
2169,1
2189,1
2254,1
2264,1
2319,1
2372,1
2411,1
2434,1
2448,1
2529,1
2547,1
2592,1
2639,1
2647,1
2681,1
2700,1
2740,1
2744,1
2794,1
2806,1
2841,3
2859,1
2875,3
2909,1
3094,1
3165,1
3196,1
3281,1
3312,1
3327,1
3352,1
3354,3
3413,1
3441,1
3470,1
3476,1
3481,1
3483,1
3486,1
3493,1
3544,1
3710,1
3728,1
3734,1
3751,1
3766,1
3772,1
3783,1
3830,1
3833,1
3891,1
3901,1
3968,1
3972,1
3985,1
4005,1
4044,1
4055,1
4073,1
4101,1
4102,1
4117,1
4137,1
4146,1
4154,1
4187,1
4188,1
4212,1
4237,1
4250,3
4262,1
4269,1
4273,1
4279,1
4286,1
4306,1
4324,1
4334,1
4396,1
4403,1
4406,1
4417,1
4463,1
4483,1
4506,1
4513,1
4521,1
4524,1
4615,1
4639,1
4677,1
4698,3
4714,1
4722,1
4742,1
4775,1
4831,1
4895,1
4905,1
4979,1
4986,1
5046,1
5065,1
5067,1
5084,1
5087,1
5114,1
5136,1
5182,1
5185,1
5193,1
5194,1
5258,1
5269,1
5283,1
5305,1
5320,1
5455,1
5463,1
5467,1
5500,1
5507,1
5517,1
5616,1
5636,1
5655,1
5661,1
5665,1
5692,1
5696,1
5712,1
5723,1
5740,1
5744,1
5760,1
5765,1
5804,1
5841,1
5874,1
5891,3
5898,1
5906,1
5909,1
5922,1
5924,1
5980,1
5984,1
6090,1
6113,1
6164,1
6170,1
6226,1
6243,1
6298,1
6398,1
6404,1
6415,1
6437,1
6453,1
6477,1
6505,1
6519,1
6559,1
6586,1
6624,1
6640,1
6650,1
6785,1
6798,1
6836,1
6857,1
6883,1
6915,1
6916,1
6921,1
6922,1
6972,1
6978,1
7035,3
7046,1
7111,1
7172,1
7192,1
7207,1
7227,1
7247,1
7285,3
7314,1
7322,1
7326,1
7339,1
7369,1
7372,1
7389,1
7400,1
7401,1
7456,2
7485,1
7658,1
7696,1
7752,1
7803,1
7837,1
7946,1
8044,1
8052,1
8090,1
8093,1
8096,1
8126,1
8194,1
8207,1
8227,1
8236,1
8289,1
8303,1
8308,1
8330,1
8351,1
8394,1
8421,1
8423,1
8424,1
8489,1
8600,1
8635,1
8686,1
8749,1
8832,1
8853,1
8874,1
8876,1
8932,1
8985,1
9018,1
9030,1
9044,1
9063,1
9134,1
9146,1
9147,1
9174,1
9189,1
9205,1
9247,1
9250,1
9309,1
9328,1
9338,1
9380,1
9396,1
9435,3
9450,1
9473,1
9492,1
9497,1
9538,1
9544,1
9564,1
9578,1
9599,1
9605,1
9647,1
9658,1
9685,3
9711,1
9821,1
9844,1
9851,1
9897,1
9956,1
9968,1
10001,1
10011,1
10020,1
10029,1
10030,1
10039,1
10062,1
10094,1
10097,1
10099,1
10126,1
10141,1
10172,1
10199,1
10200,1
10212,1
10238,1
10255,1
10277,1
10279,1
10324,1
10401,1
10466,2
10498,1
10542,1
10554,1
10611,1
10652,1
10684,1
10708,1
10733,1
10776,1
10791,1
10814,1
10883,1
10961,1
11036,1
11129,1
11181,1
11191,1
11195,2
11209,1
11249,1
11301,1
11312,3
11335,1
11362,1
11396,1
11412,1
11420,1
11442,3
11445,1
11473,1
11478,1
11523,1
11530,1
11548,1
11567,1
11572,1
11587,1
11601,1
11612,1
11621,1
11636,1
11670,1
11671,1
11687,1
11746,1
11775,1
11882,1
11905,1
11910,1
11935,1
11961,1
12059,1
12067,1
12071,1
12136,1
12226,1
12242,1
12252,1
12258,1
12267,1
12281,1
12290,1
12311,1
12315,3
12329,1
12356,1
12361,1
12419,1
12471,1
12489,1
12587,1
12693,1
12733,1
12741,1
12748,1
12770,1
12773,1
12919,1
12943,1
12949,1
12955,1
12979,1
13041,1
13071,3
13099,1
13110,1
13124,1
13146,1
13159,1
13168,1
13223,2
13249,1
13287,1
13318,1
13340,3
13430,1
13466,1
13496,1
13516,3
13599,1
13600,1
13605,3
13609,1
13613,1
13632,1
13647,1
13755,1
13770,1
13811,3
13813,1
13849,1
13860,1
13862,1
13916,1
13944,1
13992,1
14032,1
14056,1
14079,1
14107,1
14143,1
14156,1
14183,1
14215,1
14217,1
14224,1
14290,1
14309,1
14325,1
14345,1
14348,1
14368,1
14395,1
14399,1
14494,1
14497,1
14507,1
14527,1
14544,1
14628,1
14636,1
14644,1
14739,1
14790,1
14806,1
14812,1
14848,1
14852,1
14863,1
14868,1
14940,3
14953,3
14994,1
15040,1
15099,1
15110,3
15164,1
15167,1
15177,1
15193,1
15260,1
15270,1
15311,1
15387,3
15392,1
15430,1
15431,1
15436,3
15447,1
15489,1
15494,1
15497,1
15534,1
15573,1
15580,1
15590,1
15603,1
15606,2
15627,1
15646,1
15668,1
15721,1
15736,1
15759,1
15801,1
15812,1
15829,1
15846,1
15901,1
15946,1
15980,1
16049,3
16051,2
16067,1
16109,1
16189,1
16193,1
16206,3
16240,1
16300,1
16315,1
16325,1
16362,1
16378,1
16435,1
16454,1
16488,1
16489,1
16558,1
16570,1
16586,1
16597,1
16649,1
16656,1
16699,1
16708,1
16715,1
16730,1
16780,1
16792,1
16803,1
16830,1
16904,1
16978,1
16980,1
17027,1
17041,1
17061,1
17108,1
17115,1
17155,1
17177,1
17188,1
17192,1
17237,1
17249,1
17342,1
17447,3
17453,1
17488,1
17505,3
17541,1
17586,1
17684,1
17746,1
17774,1
17781,1
17797,1
17803,3
17805,1
17823,3
17824,1
17825,1
17872,1
17915,3
17920,1
17957,1
17987,1
17999,1
18018,1
18083,1
18092,1
18115,1
18133,1
18205,1
18213,1
18219,1
18245,1
18253,1
18275,1
18321,1
18331,1
18358,1
18373,1
18401,1
18434,1
18447,1
18470,1
18492,1
18529,1
18550,3
18564,1
18683,3
18685,1
18704,1
18718,1
18774,3
18794,1
18841,1
18897,1
18907,1
19015,3
19020,1
19051,1
19070,1
19071,1
19124,3
19149,1
19185,1
19218,1
19244,1
19251,1
19265,1
19332,1
19346,1
19405,1
19494,1
19538,1
19541,1
19561,1
19596,1
19600,1
19607,1
19610,1
19617,1
19624,1
19653,1
19656,1
19677,1
19693,1
19707,1
