,0
12,3
30,3
45,3
73,3
94,3
134,3
142,3
161,3
198,3
211,3
223,3
349,3
375,3
422,3
425,3
483,3
555,3
583,3
596,3
655,3
670,3
683,3
765,3
770,3
803,3
837,3
894,3
923,3
1002,3
1016,3
1155,3
1187,3
1362,3
1374,3
1379,3
1410,3
1467,3
1513,3
1547,3
1555,1
1630,3
1646,3
1769,3
1773,3
1779,3
1845,3
1852,3
1886,1
1898,3
1905,3
1945,3
2002,3
2039,3
2040,3
2048,3
2051,3
2067,3
2076,3
2117,3
2169,3
2189,3
2254,3
2264,3
2319,3
2372,3
2411,3
2434,3
2448,3
2529,3
2547,3
2592,1
2639,3
2647,3
2681,3
2700,3
2740,3
2744,3
2794,3
2806,3
2841,3
2859,3
2875,3
2909,3
3094,3
3165,3
3196,3
3281,2
3312,3
3327,3
3352,3
3354,3
3413,3
3441,2
3470,3
3476,3
3481,3
3483,3
3486,3
3493,3
3544,3
3710,3
3728,3
3734,3
3751,3
3766,3
3772,3
3783,3
3830,3
3833,3
3891,3
3901,3
3968,3
3972,3
3985,3
4005,3
4044,3
4055,3
4073,3
4101,3
4102,3
4117,3
4137,3
4146,3
4154,3
4187,3
4188,3
4212,3
4237,1
4250,3
4262,3
4269,3
4273,3
4279,3
4286,3
4306,1
4324,3
4334,3
4396,3
4403,3
4406,3
4417,3
4463,3
4483,3
4506,3
4513,3
4521,3
4524,3
4615,3
4639,3
4677,3
4698,3
4714,3
4722,2
4742,3
4775,3
4831,3
4895,3
4905,3
4979,3
4986,3
5046,3
5065,3
5067,3
5084,3
5087,3
5114,3
5136,3
5182,3
5185,3
5193,3
5194,3
5258,3
5269,2
5283,3
5305,3
5320,3
5455,3
5463,3
5467,3
5500,3
5507,3
5517,3
5616,3
5636,1
5655,3
5661,3
5665,3
5692,3
5696,3
5712,3
5723,3
5740,3
5744,2
5760,3
5765,3
5804,3
5841,3
5874,3
5891,3
5898,1
5906,3
5909,3
5922,3
5924,1
5980,1
5984,3
6090,3
6113,3
6164,3
6170,3
6226,3
6243,3
6298,3
6398,3
6404,2
6415,3
6437,3
6453,3
6477,3
6505,3
6519,3
6559,3
6586,3
6624,3
6640,3
6650,3
6785,3
6798,3
6836,3
6857,3
6883,3
6915,3
6916,3
6921,3
6922,3
6972,3
6978,1
7035,3
7046,3
7111,3
7172,3
7192,3
7207,3
7227,3
7247,3
7285,3
7314,3
7322,3
7326,3
7339,3
7369,3
7372,3
7389,3
7400,3
7401,3
7456,3
7485,3
7658,3
7696,3
7752,3
7803,3
7837,3
7946,3
8044,3
8052,3
8090,3
8093,3
8096,3
8126,3
8194,3
8207,3
8227,3
8236,3
8289,3
8303,3
8308,3
8330,3
8351,3
8394,3
8421,3
8423,1
8424,2
8489,3
8600,3
8635,3
8686,3
8749,3
8832,3
8853,3
8874,3
8876,3
8932,3
8985,3
9018,3
9030,3
9044,3
9063,3
9134,3
9146,1
9147,3
9174,3
9189,3
9205,1
9247,3
9250,3
9309,3
9328,3
9338,3
9380,3
9396,3
9435,3
9450,3
9473,3
9492,3
9497,3
9538,3
9544,3
9564,3
9578,3
9599,3
9605,3
9647,3
9658,3
9685,3
9711,3
9821,3
9844,3
9851,3
9897,3
9956,3
9968,3
10001,3
10011,3
10020,3
10029,3
10030,3
10039,3
10062,3
10094,3
10097,3
10099,3
10126,1
10141,3
10172,2
10199,3
10200,3
10212,3
10238,3
10255,3
10277,3
10279,2
10324,3
10401,3
10466,3
10498,3
10542,3
10554,2
10611,3
10652,3
10684,3
10708,3
10733,3
10776,3
10791,3
10814,3
10883,3
10961,3
11036,3
11129,1
11181,3
11191,3
11195,3
11209,3
11249,3
11301,3
11312,3
11335,3
11362,3
11396,2
11412,3
11420,3
11442,3
11445,3
11473,3
11478,3
11523,1
11530,3
11548,3
11567,3
11572,3
11587,3
11601,3
11612,3
11621,1
11636,1
11670,3
11671,3
11687,3
11746,3
11775,3
11882,3
11905,2
11910,3
11935,2
11961,3
12059,1
12067,1
12071,3
12136,3
12226,3
12242,3
12252,3
12258,3
12267,3
12281,3
12290,3
12311,3
12315,3
12329,3
12356,3
12361,3
12419,1
12471,3
12489,3
12587,3
12693,3
